Test case #         138:    data_in = 0xf4a0,    crc_out = 0x16a, golden_crc_out = 0x16a, TEST MATCH!
Test case #         139:    data_in = 0x084f,    crc_out = 0x0f6, golden_crc_out = 0x0f6, TEST MATCH!
Test case #         140:    data_in = 0x9711,    crc_out = 0x0e3, golden_crc_out = 0x0e3, TEST MATCH!
Test case #         141:    data_in = 0xdc0f,    crc_out = 0x0d5, golden_crc_out = 0x0d5, TEST MATCH!
Test case #         142:    data_in = 0xd7b4,    crc_out = 0x1c4, golden_crc_out = 0x1c4, TEST MATCH!
Test case #         143:    data_in = 0xb2dc,    crc_out = 0x1a5, golden_crc_out = 0x1a5, TEST MATCH!
Test case #         144:    data_in = 0xe3c9,    crc_out = 0x187, golden_crc_out = 0x187, TEST MATCH!
Test case #         145:    data_in = 0x30eb,    crc_out = 0x01d, golden_crc_out = 0x01d, TEST MATCH!
Test case #         146:    data_in = 0x7d87,    crc_out = 0x1b0, golden_crc_out = 0x1b0, TEST MATCH!
Test case #         147:    data_in = 0x9a10,    crc_out = 0x070, golden_crc_out = 0x070, TEST MATCH!
Test case #         148:    data_in = 0xfe2b,    crc_out = 0x05d, golden_crc_out = 0x05d, TEST MATCH!
Test case #         149:    data_in = 0x2ab3,    crc_out = 0x065, golden_crc_out = 0x065, TEST MATCH!
Test case #         150:    data_in = 0xfc2b,    crc_out = 0x01d, golden_crc_out = 0x01d, TEST MATCH!
Test case #         151:    data_in = 0x57c8,    crc_out = 0x053, golden_crc_out = 0x053, TEST MATCH!
Test case #         152:    data_in = 0x1624,    crc_out = 0x06e, golden_crc_out = 0x06e, TEST MATCH!
Test case #         153:    data_in = 0x5f7f,    crc_out = 0x0ba, golden_crc_out = 0x0ba, TEST MATCH!
Test case #         154:    data_in = 0x7074,    crc_out = 0x068, golden_crc_out = 0x068, TEST MATCH!
Test case #         155:    data_in = 0xc944,    crc_out = 0x129, golden_crc_out = 0x129, TEST MATCH!
Test case #         156:    data_in = 0xe2f7,    crc_out = 0x16c, golden_crc_out = 0x16c, TEST MATCH!
Test case #         157:    data_in = 0x47b8,    crc_out = 0x16e, golden_crc_out = 0x16e, TEST MATCH!
Test case #         158:    data_in = 0x2f23,    crc_out = 0x0d7, golden_crc_out = 0x0d7, TEST MATCH!
Test case #         159:    data_in = 0x22a2,    crc_out = 0x054, golden_crc_out = 0x054, TEST MATCH!
Test case #         160:    data_in = 0xf7a8,    crc_out = 0x10b, golden_crc_out = 0x10b, TEST MATCH!
Test case #         161:    data_in = 0x2385,    crc_out = 0x18f, golden_crc_out = 0x18f, TEST MATCH!
Test case #         162:    data_in = 0xc5b6,    crc_out = 0x1e2, golden_crc_out = 0x1e2, TEST MATCH!
Test case #         163:    data_in = 0x4e84,    crc_out = 0x1d0, golden_crc_out = 0x1d0, TEST MATCH!
Test case #         164:    data_in = 0x669c,    crc_out = 0x186, golden_crc_out = 0x186, TEST MATCH!
Test case #         165:    data_in = 0xd272,    crc_out = 0x1b0, golden_crc_out = 0x1b0, TEST MATCH!
Test case #         166:    data_in = 0x9d33,    crc_out = 0x0f2, golden_crc_out = 0x0f2, TEST MATCH!
Test case #         167:    data_in = 0xcfc4,    crc_out = 0x1f9, golden_crc_out = 0x1f9, TEST MATCH!
Test case #         168:    data_in = 0x6e77,    crc_out = 0x0fd, golden_crc_out = 0x0fd, TEST MATCH!
Test case #         169:    data_in = 0xd79d,    crc_out = 0x0f2, golden_crc_out = 0x0f2, TEST MATCH!
Test case #         170:    data_in = 0x2d07,    crc_out = 0x10a, golden_crc_out = 0x10a, TEST MATCH!
Test case #         171:    data_in = 0x9229,    crc_out = 0x044, golden_crc_out = 0x044, TEST MATCH!
Test case #         172:    data_in = 0x044a,    crc_out = 0x1dc, golden_crc_out = 0x1dc, TEST MATCH!
Test case #         173:    data_in = 0xb5e4,    crc_out = 0x142, golden_crc_out = 0x142, TEST MATCH!
Test case #         174:    data_in = 0xbbb5,    crc_out = 0x1bb, golden_crc_out = 0x1bb, TEST MATCH!
Test case #         175:    data_in = 0x600f,    crc_out = 0x132, golden_crc_out = 0x132, TEST MATCH!
Test case #         176:    data_in = 0x621c,    crc_out = 0x116, golden_crc_out = 0x116, TEST MATCH!
Test case #         177:    data_in = 0x4f45,    crc_out = 0x0db, golden_crc_out = 0x0db, TEST MATCH!
Test case #         178:    data_in = 0x28c7,    crc_out = 0x1b2, golden_crc_out = 0x1b2, TEST MATCH!
Test case #         179:    data_in = 0x3ee5,    crc_out = 0x110, golden_crc_out = 0x110, TEST MATCH!
Test case #         180:    data_in = 0x7512,    crc_out = 0x008, golden_crc_out = 0x008, TEST MATCH!
Test case #         181:    data_in = 0x06f6,    crc_out = 0x012, golden_crc_out = 0x012, TEST MATCH!
Test case #         182:    data_in = 0x9d82,    crc_out = 0x1d7, golden_crc_out = 0x1d7, TEST MATCH!
Test case #         183:    data_in = 0xaf0c,    crc_out = 0x12c, golden_crc_out = 0x12c, TEST MATCH!
Test case #         184:    data_in = 0x72da,    crc_out = 0x0f1, golden_crc_out = 0x0f1, TEST MATCH!
Test case #         185:    data_in = 0x268a,    crc_out = 0x0d1, golden_crc_out = 0x0d1, TEST MATCH!
Test case #         186:    data_in = 0x7906,    crc_out = 0x013, golden_crc_out = 0x013, TEST MATCH!
Test case #         187:    data_in = 0x964c,    crc_out = 0x062, golden_crc_out = 0x062, TEST MATCH!
Test case #         188:    data_in = 0xed1d,    crc_out = 0x1c4, golden_crc_out = 0x1c4, TEST MATCH!
Test case #         189:    data_in = 0x0867,    crc_out = 0x0f3, golden_crc_out = 0x0f3, TEST MATCH!
Test case #         190:    data_in = 0x9629,    crc_out = 0x0c4, golden_crc_out = 0x0c4, TEST MATCH!
Test case #         191:    data_in = 0xf7e3,    crc_out = 0x164, golden_crc_out = 0x164, TEST MATCH!
Test case #         192:    data_in = 0x2d77,    crc_out = 0x104, golden_crc_out = 0x104, TEST MATCH!
Test case #         193:    data_in = 0x6716,    crc_out = 0x0e2, golden_crc_out = 0x0e2, TEST MATCH!
Test case #         194:    data_in = 0x7453,    crc_out = 0x113, golden_crc_out = 0x113, TEST MATCH!
Test case #         195:    data_in = 0xe55d,    crc_out = 0x0cc, golden_crc_out = 0x0cc, TEST MATCH!
Test case #         196:    data_in = 0xa4c0,    crc_out = 0x1cc, golden_crc_out = 0x1cc, TEST MATCH!
Test case #         197:    data_in = 0xf1c6,    crc_out = 0x10a, golden_crc_out = 0x10a, TEST MATCH!
Test case #         198:    data_in = 0x5048,    crc_out = 0x0a3, golden_crc_out = 0x0a3, TEST MATCH!
Test case #         199:    data_in = 0xd5ca,    crc_out = 0x147, golden_crc_out = 0x147, TEST MATCH!
Test case #         200:    data_in = 0x77e8,    crc_out = 0x102, golden_crc_out = 0x102, TEST MATCH!
